rep,0p1,0p5,1,5,25,day,ploidy
1,LO,LO,26,87,372,0,2N
2,LO,LO,26,89,387,0,2N
3,,,26,89,395,0,2N
1,LO,LO,26,87,372,0,4N
2,LO,LO,26,89,387,0,4N
3,,,26,89,395,0,4N
1,LO,LO,25,87,409,1,2N
2,LO,LO,26,87,379,1,2N
3,,,26,85,368,1,2N
4,,,26,90,367,1,2N
1,LO,LO,21,80,402,2,2N
2,LO,LO,21,80,415,2,2N
3,,,22,79,402,2,2N
4,,,21,80,385,2,2N
1,LO,LO,LO,67,392,3,2N
2,LO,LO,LO,71,381,3,2N
3,,,,69,369,3,2N
4,,,,66,369,3,2N
1,LO,LO,LO,49,367,4,2N
2,LO,LO,LO,49,381,4,2N
3,,,,41,372,4,2N
4,,,,52,389,4,2N
1,LO,LO,23,86,408,1,4N
2,LO,LO,23,86,397,1,4N
3,,,24,88,415,1,4N
4,,,24,87,420,1,4N
1,LO,LO,LO,74,349,2,4N
2,LO,LO,LO,70,382,2,4N
3,,,LO,72,381,2,4N
4,,,LO,70,394,2,4N
1,LO,LO,LO,42,366,3,4N
2,LO,LO,LO,45,368,3,4N
3,,,,47,364,3,4N
4,,,,47,369,3,4N
1,LO,LO,LO,20,333,4,4N
2,LO,LO,LO,20,323,4,4N
3,,,,20,336,4,4N
4,,,,21,336,4,4N
